Title,Address,Url
Architecture / Draftsman,Astoria,https://newyork.craigslist.org/mnh/egr/d/architecture-draftsman/6621351883.html
IMMEDIATE HIRE - Firm Seeking Junior Architect/Draftsman,Brooklyn,https://newyork.craigslist.org/brk/egr/d/immediate-hire-firm-seeking/6621314121.html
Network Engineer,"New York, NY",https://newyork.craigslist.org/brk/egr/d/network-engineer/6621228895.html
Estimator to read public bids,,https://newyork.craigslist.org/brx/egr/d/estimator-to-read-public-bids/6621223702.html
FREELANCE EXPERIENCED CAD DRAFTER NEEDED: IMMEDIATE HIRE,DOWNTOWN BROOKLYN,https://newyork.craigslist.org/brk/egr/d/freelance-experienced-cad/6621013508.html
Civil Engineer Estimator Site Work/Heavy Construction,,https://newyork.craigslist.org/wch/egr/d/civil-engineer-estimator-site/6620955268.html
NYC DOB Expediter Seeks 2 Filing Rep/Project Manager 70k Starting,All Boroughs,https://newyork.craigslist.org/que/egr/d/nyc-dob-expediter-seeks-2/6620930186.html
Procore Data Management,,https://newyork.craigslist.org/brk/egr/d/procore-data-management/6620553508.html
HVAC Estimator,Maspeth,https://newyork.craigslist.org/que/egr/d/hvac-estimator/6620438567.html
High-end Interior Design Firm seeks Receptionist,New York,https://newyork.craigslist.org/mnh/egr/d/high-end-interior-design-firm/6620435225.html
Architecture Student for assistance w/ Architectural Portfolio Design,Fidi,https://newyork.craigslist.org/mnh/egr/d/architecture-student-for/6620376773.html
Project Manager & Intake Coordinator - Design/Architecture background,Midtown East,https://newyork.craigslist.org/mnh/egr/d/project-manager-intake/6620322639.html
Expediting Project Manager,Downtown,https://newyork.craigslist.org/mnh/egr/d/expediting-project-manager/6620242550.html
Structural Engineer,,https://newyork.craigslist.org/que/egr/d/structural-engineer/6620015759.html
"Construction firm seeking Architects, Engineers, & Estimators",Westbury,https://newyork.craigslist.org/lgi/egr/d/construction-firm-seeking/6619966585.html
Interior Designer/ Draftsman,TriBeCa,https://newyork.craigslist.org/mnh/egr/d/interior-designer-draftsman/6619955166.html
Architectural Project manager,,https://newyork.craigslist.org/stn/egr/d/architectural-project-manager/6619919823.html
Estimator for Window Treatment Company,Midtown East,https://newyork.craigslist.org/mnh/egr/d/estimator-for-window/6619754048.html
kitchen Designer & Sales,Gowanus,https://newyork.craigslist.org/brk/egr/d/kitchen-designer-sales/6619625642.html
Architects - Project Level,New York,https://newyork.craigslist.org/mnh/egr/d/architects-project-level/6619501553.html
Project architect,,https://newyork.craigslist.org/mnh/egr/d/project-architect/6619254974.html
Opportunity for Certified Construction Manager,,https://newyork.craigslist.org/mnh/egr/d/opportunity-for-certified/6618162573.html
Electrical estimator needed,Staten Island,https://newyork.craigslist.org/stn/egr/d/electrical-estimator-needed/6618162505.html
MECHANICAL ENGINEER,Brooklyn,https://newyork.craigslist.org/brk/egr/d/mechanical-engineer/6618145465.html
Entry Level / Experienced Revit Draftspersons.,Midtown West,https://newyork.craigslist.org/mnh/egr/d/entry-level-experienced-revit/6618107768.html
Facade / Building Envelope Project Architect or Engineer,TriBeCa,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope/6618084274.html
Mechanical Engineer,New Jersey,https://newyork.craigslist.org/jsy/egr/d/mechanical-engineer/6618070017.html
"Architecture, design and construction company summer internship",Midtown West,https://newyork.craigslist.org/mnh/egr/d/architecture-design-and/6618013635.html
Construction Inspector,Maspeth,https://newyork.craigslist.org/que/egr/d/construction-inspector/6617990387.html
HVAC ESTIMATOR (Bronx) Needed Immediately,Bronx,https://newyork.craigslist.org/brx/egr/d/hvac-estimator-bronx-needed/6617989241.html
HVAC ENGINEERS,Midtown,https://newyork.craigslist.org/mnh/egr/d/hvac-engineers/6617988806.html
Draftsman,,https://newyork.craigslist.org/que/egr/d/draftsman/6617940425.html
Junior Estimator,Astoria office,https://newyork.craigslist.org/que/egr/d/junior-estimator/6617921740.html
Draftsperson Detailer,Long Island City,https://newyork.craigslist.org/mnh/egr/d/draftsperson-detailer/6617757947.html
Drafter wanted - full time,Greenpoint/Brooklyn,https://newyork.craigslist.org/brk/egr/d/drafter-wanted-full-time/6617741457.html
WORKER TO MANAGEMENT: APM at Facade Restoration GC,East Harlem,https://newyork.craigslist.org/mnh/egr/d/worker-to-management-apm-at/6617733691.html
Project Architect,Flatiron,https://newyork.craigslist.org/mnh/egr/d/project-architect/6617685096.html
LAND SURVEYOR,NEW YORK,https://newyork.craigslist.org/que/egr/d/land-surveyor/6617481598.html
Project Architect(s),"Jamaica, Queens",https://newyork.craigslist.org/que/egr/d/project-architects/6617365668.html
Workplace Strategist (NYCINT1860),Flatiron,https://newyork.craigslist.org/mnh/egr/d/workplace-strategist/6617256459.html
Workplace Strategist (NJYINT760),Woodbridge,https://newyork.craigslist.org/jsy/egr/d/workplace-strategist-njyint760/6617254379.html
ARCHITECTURAL PROJECT MANAGER,Midtown West,https://newyork.craigslist.org/mnh/egr/d/architectural-project-manager/6617214554.html
PROJECT ASSISTANT for Real Estate focused Digital Agency,TriBeCa,https://newyork.craigslist.org/mnh/egr/d/project-assistant-for-real/6617209838.html
Kitchen and Bath Designer,"Greenvale, NY",https://newyork.craigslist.org/lgi/egr/d/kitchen-and-bath-designer/6617091301.html
AutoCAD assistance,Rahway,https://newyork.craigslist.org/jsy/egr/d/autocad-assistance/6617069351.html
Drafter,White Plains,https://newyork.craigslist.org/wch/egr/d/drafter/6617027558.html
Use LEGO® to teach kids engineering concepts!,,https://newyork.craigslist.org/que/egr/d/use-lego-to-teach-kids/6617005218.html
Intermediate Junior Architectural Designer,Midtown,https://newyork.craigslist.org/mnh/egr/d/intermediate-junior/6616926677.html
Architect,NEW YORK,https://newyork.craigslist.org/mnh/egr/d/architect/6616798950.html
Project Manager/Estimator,,https://newyork.craigslist.org/wch/egr/d/project-manager-estimator/6616783796.html
Construction Admin / Project Asst,,https://newyork.craigslist.org/brk/egr/d/construction-admin-project/6616424726.html
"Construction Superintendent,  Long Island NY",,https://newyork.craigslist.org/lgi/egr/d/construction-superintendent/6616350461.html
Architectural drafter,,https://newyork.craigslist.org/brk/egr/d/architectural-drafter/6616318656.html
Jr Architect- Revit,TriBeCa,https://newyork.craigslist.org/mnh/egr/d/jr-architect-revit/6616272727.html
INDUSTRIAL DESIGNER/MECHANICAL ENGINEER /JUNIOR DRAFTSMAN,Brooklyn,https://newyork.craigslist.org/brk/egr/d/industrial-designer/6616227031.html
CLEAN ENERGY ENGAGEMENT SPECIALIST,Midtown,https://newyork.craigslist.org/mnh/egr/d/clean-energy-engagement/6616214754.html
SENIOR ANALYTICS CONSULTANT,Midtown,https://newyork.craigslist.org/mnh/egr/d/senior-analytics-consultant/6616206898.html
Jr Estimator/Drafter role,"Long Island City, NY",https://newyork.craigslist.org/que/egr/d/jr-estimator-drafter-role/6616168765.html
Architect field representative,Flatiron,https://newyork.craigslist.org/mnh/egr/d/architect-field-representative/6616168109.html
Senior Architect for boutique office,Chelsea,https://newyork.craigslist.org/mnh/egr/d/senior-architect-for-boutique/6616126370.html
Junior Architect or Student,Upper West Side,https://newyork.craigslist.org/mnh/egr/d/junior-architect-or-student/6616079637.html
Architect,Rye,https://newyork.craigslist.org/wch/egr/d/architect/6616050851.html
Junior Architect | Recent Grad!,"Staten Island, New York",https://newyork.craigslist.org/stn/egr/d/junior-architect-recent-grad/6616017086.html
Commissioning / Retro Commissioning Leader,New York City,https://newyork.craigslist.org/mnh/egr/d/commissioning-retro/6615838254.html
Entry to Mid Level Architect or Designer,Midtown,https://newyork.craigslist.org/mnh/egr/d/entry-to-mid-level-architect/6615805486.html
Heavy Construction Site Safety Auditor in NYC area,New York,https://newyork.craigslist.org/mnh/egr/d/heavy-construction-site/6615505800.html
Architectural Job Captain,Midtown West,https://newyork.craigslist.org/mnh/egr/d/architectural-job-captain/6614942771.html
Job Captain / Intermediate Architect - Immediate Hire!,Flatiron,https://newyork.craigslist.org/mnh/egr/d/job-captain-intermediate/6614916512.html
Electrical Engineer,Manhattan,https://newyork.craigslist.org/mnh/egr/d/electrical-engineer/6614842803.html
(Engineering  Service ) -   Electrical  design Freelance,Midtown,https://newyork.craigslist.org/mnh/egr/d/engineering-service/6614797877.html
Kitchen and Bath Designer,Upper West Side,https://newyork.craigslist.org/mnh/egr/d/kitchen-and-bath-designer/6614669361.html
AUTO CAD / CONSTRUCTION ESTIMATOR,MOUNT VERNON,https://newyork.craigslist.org/wch/egr/d/auto-cad-construction/6614487007.html
Senior Interior Designer,"Montclair, NJ",https://newyork.craigslist.org/jsy/egr/d/senior-interior-designer/6614419708.html
Construction Estimator/Project Manager,NYC,https://newyork.craigslist.org/que/egr/d/construction-estimator/6614269361.html
CAD Draftsman/Estimator,NYC,https://newyork.craigslist.org/que/egr/d/cad-draftsman-estimator/6614268253.html
"Expediter, PM",Dumbo,https://newyork.craigslist.org/brk/egr/d/expediter-pm/6614264703.html
Project Engineer - MEP Engineering,Midtown West,https://newyork.craigslist.org/mnh/egr/d/project-engineer-mep/6614203979.html
"Mechanical Engineer - Educational, Healthcare, Public and Retail",Midtown East,https://newyork.craigslist.org/mnh/egr/d/mechanical-engineer/6614001984.html
Junior Architect,"Mamaroneck, NY",https://newyork.craigslist.org/wch/egr/d/junior-architect/6613973396.html
DOB Expeditor,NYC,https://newyork.craigslist.org/mnh/egr/d/dob-expeditor/6613912612.html
Mechanical Engineer,Staten Island,https://newyork.craigslist.org/stn/egr/d/mechanical-engineer/6613880868.html
CONSTRUCTION SUPERINTENDENT,,https://newyork.craigslist.org/que/egr/d/construction-superintendent/6613879895.html
Construction Site Superintendent for New Construction Project,Queens,https://newyork.craigslist.org/que/egr/d/construction-site/6613877742.html
Construction Project Supervisor / Field Engineer,JAMAICA,https://newyork.craigslist.org/que/egr/d/construction-project/6613873531.html
Senior Level Architect: 15+ years of experience,Long Island City,https://newyork.craigslist.org/que/egr/d/senior-level-architect-15/6613843290.html
Project Engineer - APM,Bethel,https://newyork.craigslist.org/fct/egr/d/project-engineer-apm/6613837544.html
Project architect,,https://newyork.craigslist.org/mnh/egr/d/project-architect/6613502191.html
Furniture Design and Sales Position in Manhattan,,https://newyork.craigslist.org/mnh/egr/d/furniture-design-and-sales/6613396517.html
Assistant Project Manager  - Electrical Construction - Large Firm,LONG ISLAND CITY,https://newyork.craigslist.org/que/egr/d/assistant-project-manager/6613327131.html
Passive House - Project Architect,Flatiron,https://newyork.craigslist.org/mnh/egr/d/passive-house-project/6612815549.html
Junior Architect / Marketing Assistant,Upper East Side,https://newyork.craigslist.org/mnh/egr/d/junior-architect-marketing/6612671759.html
Architect -Full Time-Immediate Hire,Staten Island,https://newyork.craigslist.org/stn/egr/d/architect-full-time-immediate/6612375786.html
MEP Design Engineer,,https://newyork.craigslist.org/que/egr/d/mep-design-engineer/6612207001.html
CAD MEP DESIGNER,,https://newyork.craigslist.org/que/egr/d/cad-mep-designer/6612205844.html
ASSISTANT PROJECT MANAGER - METAL & GLASS,SO. HACKENSACK,https://newyork.craigslist.org/jsy/egr/d/assistant-project-manager/6612010196.html
MEP Design Engineer - Mechanical+PM,Midtown West,https://newyork.craigslist.org/mnh/egr/d/mep-design-engineer/6611803560.html
Mechanical Engineer,NYC,https://newyork.craigslist.org/mnh/egr/d/mechanical-engineer/6611739196.html
Facade / Building Envelope Project Architect or Engineer,TriBeCa,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope/6611713010.html
Construction Project Manager,New York,https://newyork.craigslist.org/mnh/egr/d/construction-project-manager/6611621650.html
EXPERIENCED CARPENTER/INSTALLATION EXPERT WANTED IMMEDIATELY,Hicksville,https://newyork.craigslist.org/lgi/egr/d/experienced-carpenter/6611610057.html
Energy Engineer/Cx Project Manager,Midtown,https://newyork.craigslist.org/mnh/egr/d/energy-engineer-cx-project/6611585935.html
Architect / Draftsman,Midtown,https://newyork.craigslist.org/mnh/egr/d/architect-draftsman/6611561679.html
"Admin Assistant/Bookkeeper for Azadi Design, LLC",Midtown,https://newyork.craigslist.org/mnh/egr/d/admin-assistant-bookkeeper/6611515589.html
Plumbing/ Fire Protection Engineer,Midtown,https://newyork.craigslist.org/mnh/egr/d/plumbing-fire-protection/6611493123.html
ELECTRICAL ENGINEERS,Midtown,https://newyork.craigslist.org/mnh/egr/d/electrical-engineers/6611435901.html
"Designers, Jr. Designers, Design Asst and AutoCAD specialists",Upper East Side,https://newyork.craigslist.org/mnh/egr/d/designers-jr-designers-design/6611431958.html
Structural Engineering Draftsperson/CAD operator,Brooklyn,https://newyork.craigslist.org/brk/egr/d/structural-engineering/6611431723.html
Project Foreman,Manhattan,https://newyork.craigslist.org/mnh/egr/d/project-foreman/6610752793.html
Construction Field Inspector,New York City,https://newyork.craigslist.org/mnh/egr/d/construction-field-inspector/6610698848.html
Class 2 Code & Zoning Representative,"Brooklyn, NY",https://newyork.craigslist.org/brk/egr/d/class-2-code-zoning/6610649148.html
Architect/Engineer/Construction Manager,Citywide,https://newyork.craigslist.org/mnh/egr/d/architect-engineer/6610599284.html
Fire Sprinkler Engineer,NYC,https://newyork.craigslist.org/mnh/egr/d/fire-sprinkler-engineer/6610462123.html
